web-scraper-order,web-scraper-start-url,link,link-href,info,nname,sources,surfaceRange,address,averageRent,averageBCRent,nameBC
"1529318512-2128","https://www.haozu.com/sh/zuxiezilou/o7/","新城市中心广场","https://www.haozu.com/sh_xzl_3127/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    28层\n                \n                                        \n                    建筑面积：\n                    21760m²\n                \n                                                    \n                    标准层高：\n                    3米\n                \n                                        \n                    客梯数：\n                    5个(三菱)\n                \n                                        \n                    开发商：\n                    上海明捷置业有限公司\n                \n                                        \n                    物业公司：\n                    仲量联行物业管理服务有限公司\n                \n                                \n                    \n                新城市中心广场位于上海市西北部普陀区岚皋路桥以西、铜川路以东、沪宁铁路以南，轨道交通7号线岚皋路的上盖项目，属于真如城市副中心，地理位置优越。 整个项目为品尊国际城市综合体的办公楼部分，共约三万方，已经于2011年5月交付使用，得房率高达70%以上，物业管理公司为仲量联行。 另外，城市综合体还包括了精品酒店公寓、明捷万丽酒店、弘基时尚中心等各种形态。\n                展开\n            \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]\n                    \n                                    被收录到【知名物业】专题中 [查看专题]""}]","新城市中心广场","15个","82.1 - 1544m²","地址：
                    [普陀] - 
                    [真如]
                    铜川路70号  
                    [地图]","4.8元/m²⋅天","4.38元/m²⋅天","真如均价（商圈）"
"1529310095-468","https://www.haozu.com/sh/zuxiezilou/o91/","宝华国际广场","https://www.haozu.com/sh_xzl_1082/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    23层\n                \n                                        \n                    建筑面积：\n                    58000m²\n                \n                                        \n                    得房率：\n                    83%\n                \n                                        \n                    标准层高：\n                    3.5米\n                \n                                        \n                    客梯数：\n                    5个(OTIS)\n                \n                                        \n                    开发商：\n                    全存置业有限公司\n                \n                                        \n                    物业公司：\n                    安荣物业\n                \n                                \n                    \n                地段:大宁商圈CBD核心地段.\n\n性价比:朝向好,绿地人工湖尽收眼底.\n\n交通便利:紧邻1号地铁马戏城站步行5分钟,通多条公交车.\n\n周边配套:大宁行活广场主商圈,繁华便捷.\n\n物业:本大厦物业获上海市优秀物业称号,管理到位,服务好.\n                展开""}]","宝华国际广场","13个","114 - 510.4m²","地址：
                    [闸北] - 
                    [大宁路]
                    广中西路555号  
                    [地图]","5.95元/m²⋅天","4.91元/m²⋅天","大宁路均价（商圈）"
"1529311784-796","https://www.haozu.com/sh/zuxiezilou/o75/","海盈金圣商务楼","https://www.haozu.com/sh_xzl_3838/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    6层\n                \n                                        \n                    建筑面积：\n                    11000m²\n                \n                                        \n                    得房率：\n                    75%\n                \n                                        \n                    标准层高：\n                    3.4米\n                \n                                        \n                    客梯数：\n                    2个(三菱)\n                \n                                        \n                    开发商：\n                    上海海盈房地产开发有限公司\n                \n                                        \n                    物业公司：\n                    上海海昌房地产有限公司\n                \n                                        \n                     已入驻企业：\n                    企业名称：上海洪剑智能科技有限公司，所属行业：贸易/消费/制造/营运、 企业名称：上海敬润园林建设工程有限公司，所属行业：房地产/建筑、 企业名称：上海宝晟科技有限公司，所属行业：贸易/消费/制造/营运、 企业名称：江苏浩霆进出口有限公司，所属行业：贸易/消费/制造/营运、 企业名称：华泰证券股份有限公司上海威宁，所属行业：会计/金融/银行/保险\n\n                \n                    \n                    \n                海盈金圣商务楼位于长宁区的威宁路、新渔东路交叉路口，紧邻地铁2号线威宁路站，交通便捷。大楼内部干净整洁，外部简单大气。办公楼环境安静，办公氛围良好。\n\n\n                展开\n            \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]""}]","海盈金圣商务楼","2个","40 - 115m²","地址：
                    [长宁] - 
                    [天山路]
                    威宁路333号  
                    [地图]","4.5元/m²⋅天","4.88元/m²⋅天","天山路均价（商圈）"
"1529314296-1548","https://www.haozu.com/sh/zuxiezilou/o37/","银珠商厦","https://www.haozu.com/sh_xzl_1363/","[{""info"":""写字楼信息\n        \n                                        \n                    建筑面积：\n                    23000m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                        \n                    标准层高：\n                    3.5米\n                \n                                        \n                    客梯数：\n                    3个(三菱)\n                \n                                                                \n                     已入驻企业：\n                    上海银珠商厦有限公司\n                \n                    \n                    \n                银珠商厦位于浦东大道2330号（杨浦大桥匝道东侧），它建于九十年代初，建筑面积23000余平方米，是集商业与办公的综合性楼宇。商厦配套齐全，停车场、电梯、活动室、文印、保安、保洁一应俱全。\n                展开\n            \n                                    \n                \n                                                                        \n                                \n                                    \n                                    停车场                                \n                            \n                                                    \n                                \n                                    \n                                    正门                                \n                            \n                                                    \n                                \n                                    \n                                    大堂""}]","银珠商厦","1个","310m²","地址：
                    [浦东] - 
                    [竹园商贸区]
                    浦东大道2330号  
                    [地图]","2.2元/m²⋅天","11.33元/m²⋅天","竹园商贸区均价（商圈）"
"1529312291-985","https://www.haozu.com/sh/zuxiezilou/o65/","万街303","https://www.haozu.com/sh_xzl_21877/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    4层\n                \n                                        \n                    建筑面积：\n                    8000m²\n                \n                                        \n                    得房率：\n                    80%\n                \n                                        \n                    标准层高：\n                    5.3米\n                \n                                                                    \n                    \n                万街303创意园 位于徐汇区上中路303号近龙川路，与中环线上中路入口相邻，项目总体量8000平方米，属市区稀缺庭院风格园区资源，四幢建筑由空中连廊环通，幽静的庭院氛围为园区办公提供了舒适写意的环境。\n                展开""}]","万街303","9个","75 - 380m²","地址：
                    [徐汇] - 
                    [上海南站]
                    上中路303号  
                    [地图]","2.96元/m²⋅天","4.51元/m²⋅天","上海南站均价（商圈）"
"1529314693-1665","https://www.haozu.com/sh/zuxiezilou/o31/","和平国际商务港","https://www.haozu.com/sh_xzl_11802/","[{""info"":""写字楼信息\n        \n                                        \n                    建筑面积：\n                    79186m²\n                \n                                        \n                    得房率：\n                    60%\n                \n                                                                \n                    开发商：\n                    上海融御商贸有限公司\n                \n                                        \n                    物业公司：\n                    戴德梁行公司\n                \n                                \n                    \n                和平国际商务港总建筑面积约9万平方米，包括南侧一幢15层的5A甲级精装饰写字楼，面积18600.46平方米，北侧一幢17层五星级酒店，面积约1.5万平方米。地下一层下沉式广场，地上5楼为超大精品商厦，面积约6万平方米，集商务、餐饮、休闲娱乐、度假购物为一体的大型CBD中心。\n                展开""}]","和平国际商务港","21个","106 - 154.9m²","地址：
                    [浦东] - 
                    [御桥]
                    沪南路2651号  
                    [地图]","3.92元/m²⋅天","3.53元/m²⋅天","御桥均价（商圈）"
"1529312146-930","https://www.haozu.com/sh/zuxiezilou/o68/","021·联合滨江大厦","https://www.haozu.com/sh_xzl_10304/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    20层\n                \n                                        \n                    建筑面积：\n                    23000m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                        \n                    标准层高：\n                    3.3米\n                \n                                        \n                    客梯数：\n                    4个(OTIS)\n                \n                                        \n                    开发商：\n                    上海宝德置业有限公司\n                \n                                        \n                    物业公司：\n                    上海万润物业管理公司\n                \n                                        \n                     已入驻企业：\n                    中国集装箱有限公司\n                \n                    \n                    \n                独特的玻璃幕墙及现代新颖的建筑设计使之成为该区域内地标性建筑。交通便利，紧邻轻轨三号线、逸仙路高架、A20外环及外环隧道的三重立体交通于一体。\n                展开\n            \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]""}]","021·联合滨江大厦","7个","51 - 420m²","地址：
                    [宝山] - 
                    [吴淞]
                    淞滨路600号、淞桥东路1...  
                    [地图]","2.66元/m²⋅天","2.07元/m²⋅天","吴淞均价（商圈）"
"1529311477-681","https://www.haozu.com/sh/zuxiezilou/o81/","八一办公楼","https://www.haozu.com/sh_xzl_19644/","[{""info"":""写字楼信息\n        \n                                        \n                    建筑面积：\n                    82500m²\n                \n                                        \n                    得房率：\n                    65%\n                \n                                        \n                    标准层高：\n                    2.8米\n                \n                                                                    \n                    \n                巴毅小区位于曲阳公园附近，地段优越，处于曲阳核心地带，周边环境不错，配套设施齐全，购物，交通，娱乐一应俱全，交通便捷。周边有易买得、华联超市、永乐生活电器等，边上有菜场，有工商银行、交通银行、建设银行、农业银行等银行。轻轨3号线，公交123、933、116、874、848、139、旅游10号线都经过此地，可直达外滩、人民广场、徐家汇、火车站、五角场、陆家嘴等市中心区域。\n                展开""}]","八一办公楼","5个","40 - 50m²","地址：
                    [虹口] - 
                    [曲阳路]
                    曲阳路820弄-1-～59号  
                    [地图]","3.5元/m²⋅天","3.20元/m²⋅天","曲阳路均价（商圈）"
"1529318991-2226","https://www.haozu.com/sh/zuxiezilou/o2/","华辰金融大厦","https://www.haozu.com/sh_xzl_11814/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    25层\n                \n                                        \n                    建筑面积：\n                    21000m²\n                \n                                        \n                    得房率：\n                    75%\n                \n                                        \n                    标准层高：\n                    3.8米\n                \n                                        \n                    客梯数：\n                    4个(三菱)\n                \n                                        \n                    开发商：\n                    上海东道置业有限公司\n                \n                                        \n                    物业公司：\n                    上海华辰物业管理有限公司\n                \n                                        \n                     已入驻企业：\n                    永诚财产保险股份有限公司\n                \n                    \n                    \n                华辰金融大厦坐落于浦东大道与源深路交汇处,属于上海中央商务区一级辐射区域，写字楼的外观设计集东西方设计之的精华，在东方传统的沉稳特征中增加了动感的几何棱线，线形流畅自如，大面积幕墙黑色线框勾勒，章显强烈现代感及个性化特征。\n                展开""}]","华辰金融大厦","8个","122 - 1006m²","地址：
                    [浦东] - 
                    [陆家嘴]
                    浦东大道900-988号  
                    [地图]","7.5元/m²⋅天","13.92元/m²⋅天","陆家嘴均价（商圈）"
"1529314566-1650","https://www.haozu.com/sh/zuxiezilou/o32/","新发现才富园","https://www.haozu.com/sh_xzl_10693/","[{""info"":""写字楼信息\n        \n                                        \n                    建筑面积：\n                    10000m²\n                \n                                        \n                    得房率：\n                    65%\n                \n                                        \n                    标准层高：\n                    4米\n                \n                                        \n                    客梯数：\n                    2个(东芝)\n                \n                                        \n                    开发商：\n                    上海新发现人才服务有限公司\n                \n                                        \n                    物业公司：\n                    新发现物业管理公司\n                \n                                        \n                     已入驻企业：\n                    上海荣欣家庭装潢公司\n                \n                    \n                    \n                新发现才富园位于杨宅路255号，共五栋楼。沿街花园式办公楼，内部设施齐全，环境优雅。\n                展开""}]","新发现才富园","1个","614m²","地址：
                    [长宁] - 
                    [新华路]
                    杨宅路255号  
                    [地图]","5元/m²⋅天","7.18元/m²⋅天","新华路均价（商圈）"
"1529312853-1147","https://www.haozu.com/sh/zuxiezilou/o57/","海航大厦（上海）","https://www.haozu.com/sh_xzl_5136/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    20层\n                \n                                        \n                    建筑面积：\n                    87943m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                        \n                    标准层高：\n                    3.5米\n                \n                                        \n                    客梯数：\n                    8个(三菱)\n                \n                                        \n                    开发商：\n                    上海大新华雅秀投资有限公司\n                \n                                            \n                    \n                上海海航大厦为海航集团在上海地区的标志性建筑，位于陆家嘴金融贸易区，东侧毗邻黄浦江，坐拥核心地段与一线江景。\n                展开""}]","海航大厦（上海）","16个","122.7 - 2678.5m²","地址：
                    [浦东] - 
                    [塘桥]
                    浦明路898号  
                    [地图]","11.67元/m²⋅天","6.81元/m²⋅天","塘桥均价（商圈）"
"1529312604-1103","https://www.haozu.com/sh/zuxiezilou/o60/","立明大厦","https://www.haozu.com/sh_xzl_25618/","","立明大厦","1个","630m²","地址：
                    [徐汇] - 
                    [漕河泾]
                    桂箐路111号  
                    [地图]","4元/m²⋅天","4.78元/m²⋅天","漕河泾均价（商圈）"
"1529311609-730","https://www.haozu.com/sh/zuxiezilou/o78/","美通科创空间","https://www.haozu.com/sh_xzl_36992/","","美通科创空间","1个","null","地址：
                    [徐汇] - 
                    [上海南站]
                    石龙路951号  
                    [地图]","","",""
"1529310294-525","https://www.haozu.com/sh/zuxiezilou/o89/","申通信息广场","https://www.haozu.com/sh_xzl_2859/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    28层\n                \n                                        \n                    建筑面积：\n                    26000m²\n                \n                                                    \n                    标准层高：\n                    3米\n                \n                                        \n                    客梯数：\n                    4个(三菱)\n                \n                                        \n                    开发商：\n                    申通物业发展有限公司\n                \n                                        \n                    物业公司：\n                    戴德梁行\n                \n                                        \n                     已入驻企业：\n                    企业名称：新泰新技术，所属行业：计算机/互联网/通信/电子、 企业名称：申通网络，所属行业：计算机/互联网/通信/电子\n                \n                    \n                    \n                申通信息广场是上海交通大学申通国际科技公司和香港华旭有限公司合资创建的申通物业发展有限公司兴建的最具现代化的大厦，位于上海徐汇区黄金地段；毗邻徐家汇商业中心和虹桥开发区；更有地铁与高架公路尽在咫尺，交通网络极四通八达，国际机场15分钟可达，投资环境得天独厚，尽享地利。\n                展开\n            \n                            \n                                    被收录到【地铁10分钟】专题中 [查看专题]\n                    \n                            \n                            \n                \n                                                                        \n                                \n                                    \n                                    电梯                                \n                            \n                                                    \n                                \n                                    \n                                    大堂""}]","申通信息广场","8个","127 - 264m²","地址：
                    [徐汇] - 
                    [徐家汇]
                    淮海西路55号  
                    [地图]","5.75元/m²⋅天","7.52元/m²⋅天","徐家汇均价（商圈）"
"1529316693-1794","https://www.haozu.com/sh/zuxiezilou/o25/","漕河泾开发区智汇园南区","https://www.haozu.com/sh_xzl_3128/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    6层\n                \n                                        \n                    建筑面积：\n                    120000m²\n                \n                                        \n                    得房率：\n                    70%\n                \n                                        \n                    标准层高：\n                    3米\n                \n                                        \n                    客梯数：\n                    1个(OTIS)\n                \n                                        \n                    开发商：\n                    漕河泾开发区联合发展有限公司\n                \n                                        \n                    物业公司：\n                    上海漕河泾开发区物业管理有限公司\n                \n                                        \n                     已入驻企业：\n                    亚信联创科技公司上海分公司\n                \n                    \n                    \n                上海漕河泾新兴技术开发区是国务院批准的全国首批14个国家级经济技术开发区之一，1991年又被批准为国家级高新技术产业开发区。开发区总规划面积14.3平方公里。\n                展开\n            \n                            \n                                    被收录到【知名物业】专题中 [查看专题]""}]","漕河泾开发区智汇园南区","22个","90 - 460m²","地址：
                    [徐汇] - 
                    [漕河泾]
                    钦州北路1199号  
                    [地图]","4.01元/m²⋅天","4.78元/m²⋅天","漕河泾均价（商圈）"
"1529313119-1248","https://www.haozu.com/sh/zuxiezilou/o52/","永腾大厦","https://www.haozu.com/sh_xzl_3812/","[{""info"":""写字楼信息\n        \n                            \n                    总楼层：\n                    11层\n                \n                                        \n                    建筑面积：\n                    22000m²\n                \n                                        \n                    得房率：\n                    65%\n                \n                                        \n                    标准层高：\n                    3.5米\n                \n                                        \n                    客梯数：\n                    2个\n                \n                                        \n                    开发商：\n                    上海永腾置业发展有限公司\n                \n                                        \n                    物业公司：\n                    日本丸内物业管理有限公司\n                \n                                \n                    \n                永腾大厦位于闵行莘庄板块吴中路，周边商务办公楼林立，具备较健全的办公氛围。项目共11层，总建筑面积达22000平米。永腾大厦是现代化高级办公楼，位于市区繁华地段，地理位置优越交通便利，租金合理，设施齐全，装修现代，是企业领袖精明睿智之选择。\n                展开""}]","永腾大厦","1个","205m²","地址：
                    [闵行] - 
                    [金虹桥]
                    吴中路1065号  
                    [地图]","2.6元/m²⋅天","4.84元/m²⋅天","金虹桥均价（商圈）"
